# VoIP rates (dollars per minute): from http://www.cheapvoipinc.com/Ratesheet-grey.csv
dialprefix,destination,rateinitial
68931,French Polynesia - Mobile,0.1981
68932,French Polynesia - Mobile,0.1981
68933,French Polynesia - Mobile,0.1981
68934,French Polynesia - Mobile,0.1981
68935,French Polynesia - Mobile,0.1981
68939,French Polynesia - Mobile,0.1981
6894110,French Polynesia - Mobile,0.2511
6894111,French Polynesia - Mobile,0.2511
6894113,French Polynesia - Mobile,0.1667
6894114,French Polynesia - Mobile,0.1667
6894116,French Polynesia - Mobile,0.1667
6894117,French Polynesia - Mobile,0.1667
6894118,French Polynesia - Mobile,0.2511
6894119,French Polynesia - Mobile,0.2511
6897,French Polynesia Mobile,0.2203
241,Gabon,0.3868
24106,Gabon Mobile,0.3798
24104,Gabon Mobile Airtel,0.3324
24107,Gabon Mobile Airtel,0.3324
24105,Gabon Mobile Moov,0.4394
24103,Gabon Mobile Azur,0.3659
220,Gambia,2.3022
22020,Gambia Mobile,0.57
22021,Gambia Mobile,0.57
22022,Gambia Mobile,0.57
2203,Gambia Mobile,0.57
2206,Gambia Mobile,0.57
2207,Gambia Mobile,0.57
2209,Gambia Mobile,0.57
995,Georgia,0.1161
99532,Georgia Tbilisi,0.1148
995514,Georgia Mobile Geocell,0.201
995555,Georgia Mobile Geocell,0.201
995557,Georgia Mobile Geocell,0.201
995558,Georgia Mobile Geocell,0.201
995577,Georgia Mobile Geocell,0.201
995593,Georgia Mobile Geocell,0.201
995551,Georgia Mobile Magticom,0.1999
995591,Georgia Mobile Magticom,0.1999
995595,Georgia Mobile Magticom,0.1999
995596,Georgia Mobile Magticom,0.1999
995598,Georgia Mobile Magticom,0.1999
995599,Georgia Mobile Magticom,0.1999
9955,Georgia Mobile,0.2009
99572,Georgia Special Services,1.25
99576,Georgia Special Services,1.25
49,Germany,0.007
49211,Germany - Fixed Dusseldorf,0.0085
4969,Germany - Fixed Frankfurt,0.0085
4932,Germany IP Phone,0.0224
49155,Germany - Mobile Eplus,0.0801
491571,Germany Mobile E-Plus,0.026
491572,Germany Mobile E-Plus,0.026
491573,Germany Mobile E-Plus,0.026
491574,Germany Mobile E-Plus,0.026
491576,Germany Mobile E-Plus,0.026
491577,Germany Mobile E-Plus,0.026
491578,Germany Mobile E-Plus,0.026
491579,Germany Mobile E-Plus,0.026
49163,Germany Mobile E-Plus,0.026
49177,Germany Mobile E-Plus,0.026
49178,Germany Mobile E-Plus,0.026
49159,Germany Mobile Telefonica,0.0256
49176,Germany Mobile Telefonica,0.0256
49179,Germany Mobile Telefonica,0.0256
49150,Germany Mobile,0.028
49156,Germany Mobile,0.028
491570,Germany Mobile,0.028
491575,Germany Mobile,0.028
49151,Germany Mobile T-Mobile,0.0256
49160,Germany Mobile T-Mobile,0.0256
49170,Germany Mobile T-Mobile,0.0256
49171,Germany Mobile T-Mobile,0.0256
49175,Germany Mobile T-Mobile,0.0256
49152,Germany - Mobile Vodafone D2,0.0329
49162,Germany Mobile Vodafone - Arcor,0.0256
49172,Germany Mobile Vodafone - Arcor,0.0256
49173,Germany Mobile Vodafone - Arcor,0.0256
49174,Germany Mobile Vodafone - Arcor,0.0256
49700,Germany Personal Numbering,0.006
49116,Germany Special Services,1.25
49118,Germany Special Services,1.25
4912,Germany Special Services,1.25
4913,Germany Special Services,1.25
4918,Germany - Special Services,0.0349
49191,Germany Special Services,1.25
49192,Germany Special Services,1.25
49193,Germany Special Services,1.25
49194,Germany Special Services,1.25
233,Ghana,0.2181
23328,Ghana Mobile,0.159
23329,Ghana Mobile,0.159
23320,Ghana Mobile Vodafone,0.0846
23350,Ghana Mobile Vodafone,0.0846
23323,Ghana Mobile Glo,0.198
23327,Ghana Mobile Tigo,0.2253
23357,Ghana Mobile Tigo,0.2253
23324,Ghana Mobile MTN,0.2705
23354,Ghana Mobile MTN,0.2705
23326,Ghana Mobile Airtel,0.228
350,Gibraltar,0.0335
3505,Gibraltar Mobile,0.1432
3506,Gibraltar Mobile,0.1432
8812,Global Mobile Satellite System Mobile Ellipso,3.1088
8813,Global Mobile Satellite System Mobile Ellipso,3.1088
8818,Global Mobile Satellite System Mobile Globalstar T,2.3829
8819,Global Mobile Satellite System Mobile Globalstar T,2.3829
30,Greece,0.0066
3021,Greece Athens,0.0066
30697,Greece Mobile Cosmote,0.0169
30698,Greece Mobile Cosmote,0.0169
30694,Greece Mobile Vodafone,0.017
30695,Greece Mobile,0.017
30690,Greece Mobile,0.017
30693,Greece Mobile Wind,0.0181
30699,Greece Mobile Wind,0.0181
299,Greenland,0.2809
2992,Greenland Mobile,0.4178
2994,Greenland Mobile,0.4178
2995,Greenland Mobile,0.4178
1473,Grenada,0.1791
1473414,Grenada Mobile Digicel,0.2278
1473415,Grenada Mobile Digicel,0.2278
1473416,Grenada Mobile Digicel,0.2278
1473417,Grenada Mobile Digicel,0.2278
1473418,Grenada Mobile Digicel,0.2278
1473419,Grenada Mobile Digicel,0.2278
1473420,Grenada Mobile Digicel,0.2278
1473421,Grenada Mobile Digicel,0.2278
1473422,Grenada Mobile Digicel,0.2278
1473533,Grenada Mobile Digicel,0.2278
1473534,Grenada Mobile Digicel,0.2278
1473535,Grenada Mobile Digicel,0.2278
1473536,Grenada Mobile Digicel,0.2278
1473537,Grenada Mobile Digicel,0.2278
1473538,Grenada Mobile Digicel,0.2278
1473403,Grenada Mobile,0.229
1473404,Grenada Mobile,0.229
1473405,Grenada Mobile,0.229
1473406,Grenada Mobile,0.229
1473407,Grenada Mobile,0.229
1473409,Grenada Mobile,0.229
1473410,Grenada Mobile,0.229
1473449,Grenada Mobile,0.229
1473456,Grenada Mobile,0.229
1473457,Grenada Mobile,0.229
1473458,Grenada Mobile,0.229
1473459,Grenada Mobile,0.229
14735077,Grenada - Special Services,0.0756
14735078,Grenada - Special Services,0.0756
14735079,Grenada - Special Services,0.0756
590,Guadeloupe,0.007
59069006,Guadeloupe Mobile Digicel,0.0189
59069007,Guadeloupe Mobile Digicel,0.0189
59069011,Guadeloupe Mobile Digicel,0.0189
59069012,Guadeloupe Mobile Digicel,0.0189
59069013,Guadeloupe Mobile Digicel,0.0189
59069014,Guadeloupe Mobile Digicel,0.0189
59069015,Guadeloupe Mobile Digicel,0.0189
59069016,Guadeloupe Mobile Digicel,0.0189
59069017,Guadeloupe Mobile Digicel,0.0189
59069018,Guadeloupe Mobile Digicel,0.0189
59069019,Guadeloupe Mobile Digicel,0.0189
59069020,Guadeloupe Mobile Digicel,0.0189
59069021,Guadeloupe Mobile Digicel,0.0189
59069023,Guadeloupe Mobile Digicel,0.0189
59069024,Guadeloupe Mobile Digicel,0.0189
59069025,Guadeloupe Mobile Digicel,0.0189
59069036,Guadeloupe Mobile Digicel,0.0189
59069042,Guadeloupe Mobile Digicel,0.0189
59069043,Guadeloupe Mobile Digicel,0.0189
59069044,Guadeloupe Mobile Digicel,0.0189
59069045,Guadeloupe Mobile Digicel,0.0189
59069046,Guadeloupe Mobile Digicel,0.0189
59069069,Guadeloupe Mobile Digicel,0.0189
59069080,Guadeloupe Mobile Digicel,0.0189
59069081,Guadeloupe Mobile Digicel,0.0189
59069082,Guadeloupe Mobile Digicel,0.0189
59069083,Guadeloupe Mobile Digicel,0.0189
59069084,Guadeloupe Mobile Digicel,0.0189
59069085,Guadeloupe Mobile Digicel,0.0189
59069086,Guadeloupe Mobile Digicel,0.0189
59069026,Guadeloupe Mobile Orange,0.0226
59069027,Guadeloupe Mobile Orange,0.0226
59069028,Guadeloupe Mobile Orange,0.0226
59069029,Guadeloupe Mobile Orange,0.0226
59069030,Guadeloupe Mobile Orange,0.0226
59069031,Guadeloupe Mobile Orange,0.0226
59069032,Guadeloupe Mobile Orange,0.0226
59069033,Guadeloupe Mobile Orange,0.0226
59069034,Guadeloupe Mobile Orange,0.0226
59069035,Guadeloupe Mobile Orange,0.0226
59069037,Guadeloupe Mobile Orange,0.0226
59069038,Guadeloupe Mobile Orange,0.0226
59069039,Guadeloupe Mobile Orange,0.0226
59069040,Guadeloupe Mobile Orange,0.0226
59069041,Guadeloupe Mobile Orange,0.0226
59069047,Guadeloupe Mobile Orange,0.0226
59069048,Guadeloupe Mobile Orange,0.0226
59069049,Guadeloupe Mobile Orange,0.0226
5906905,Guadeloupe Mobile Orange,0.0226
59069060,Guadeloupe Mobile Orange,0.0226
59069061,Guadeloupe Mobile Orange,0.0226
59069062,Guadeloupe Mobile Orange,0.0226
59069063,Guadeloupe Mobile Orange,0.0226
59069064,Guadeloupe Mobile Orange,0.0226
59069065,Guadeloupe Mobile Orange,0.0226
59069067,Guadeloupe Mobile Orange,0.0226
59069068,Guadeloupe Mobile Orange,0.0226
59069070,Guadeloupe Mobile Orange,0.0226
59069071,Guadeloupe Mobile Orange,0.0226
59069072,Guadeloupe Mobile Orange,0.0226
59069073,Guadeloupe Mobile Orange,0.0226
59069074,Guadeloupe Mobile Orange,0.0226
59069075,Guadeloupe Mobile Orange,0.0226
59069076,Guadeloupe Mobile Orange,0.0226
590690,Guadeloupe Mobile,0.0171
59069000,Guadeloupe Mobile Outremer,0.0168
59069005,Guadeloupe Mobile Outremer,0.0168
5906909,Guadeloupe Mobile Outremer,0.0168
1671,Guam,0.018
502,Guatemala,0.1225
50230,Guatemala Mobile Tigo,0.1293
50231,Guatemala Mobile Tigo,0.1293
502320,Guatemala Mobile Tigo,0.1293
502321,Guatemala Mobile Tigo,0.1293
5023220,Guatemala Mobile Tigo,0.1293
5023221,Guatemala Mobile Tigo,0.1293
5023222,Guatemala Mobile Tigo,0.1293
5023223,Guatemala Mobile Tigo,0.1293
5023224,Guatemala Mobile Tigo,0.1293
5023225,Guatemala Mobile Tigo,0.1293
5023226,Guatemala Mobile Tigo,0.1293
5023227,Guatemala Mobile Tigo,0.1293
5023228,Guatemala Mobile Tigo,0.1293
5024,Guatemala Mobile,0.1259
5025,Guatemala Mobile,0.1259
2456,Guinea-Bissau Mobile MTN,0.4353
2455,Guinea-Bissau Mobile,0.4521
2457,Guinea-Bissau Mobile,0.4521
2454000,Guinea Bissau - Special services,0.2293
2454200,Guinea Bissau - Special services,0.2293
2454500,Guinea Bissau - Special services,0.2293
24549,Guinea-Bissau Special Services,1.25
245,Guinea-Bissau,0.3145
224,Guinea,0.3716
22465,Guinea Mobile Cellcom,0.3429
22467,Guinea Republic - Mobile CELCOM,0.3214
22478,Guinea Mobility Services,0.3294
22463,Guinea Mobile Intercel,0.3873
22479,Guinea Mobile MAI Mobile,0.3083
22424,Guinea Republic - Mobile MTN,0.3152
22464,Guinea Republic - Mobile MTN,0.3152
22466,Guinea Mobile MTN,0.3852
22469,Guinea Republic - Mobile MTN,0.3152
22462,Guinea Mobile Orange,0.4044
22468,Guinea Republic - Mobile Orange,0.3092
224720,Guinea Mobile Orange,0.4044
224721,Guinea Mobile Orange,0.4044
224722,Guinea Republic - Mobile Orange,0.3092
224723,Guinea Mobile Orange,0.4044
224724,Guinea Mobile Orange,0.4044
224725,Guinea Mobile Orange,0.4044
224726,Guinea Mobile Orange,0.4044
224727,Guinea Mobile Orange,0.4044
224728,Guinea Mobile Orange,0.4044
2247290,Guinea Republic - Mobile Orange,0.3092
2247291,Guinea Republic - Mobile Orange,0.3092
2247292,Guinea Republic - Mobile Orange,0.3092
2247293,Guinea Republic - Mobile Orange,0.3092
2247294,Guinea Republic - Mobile Orange,0.3092
2247295,Guinea Republic - Mobile Orange,0.3092
2247296,Guinea Republic - Mobile Orange,0.3092
2247297,Guinea Republic - Mobile Orange,0.3092
2247298,Guinea Republic - Mobile Orange,0.3092
22460,Guinea Republic - Mobile Sotelgui,0.3715
22461,Guinea Republic - Mobile Orange,0.3092
224637276,Guinea Mobility Services,0.3294
22470,Guinea Special Services,1.25
592,Guyana,0.1914
592600,Guyana Mobile Digicel,0.119
592601,Guyana Mobile Digicel,0.119
592602,Guyana Mobile Digicel,0.119
592603,Guyana Mobile Digicel,0.119
592604,Guyana Mobile Digicel,0.119
59266,Guyana Mobile Digicel,0.119
59267,Guyana Mobile Digicel,0.119
59268,Guyana Mobile Digicel,0.119
59269,Guyana Mobile Digicel,0.119
592609,Guyana Mobile,0.2255
59261,Guyana Mobile,0.2255
59262,Guyana Mobile,0.2255
592638,Guyana - Mobile Others,0.2682
592639,Guyana - Mobile Others,0.2682
59264,Guyana Mobile,0.2255
59265,Guyana Mobile,0.2255
509,Haiti,0.2253
509251,Haiti Haitel,0.232
5092530,Haiti Haitel,0.232
5092532,Haiti Haitel,0.232
5092536,Haiti Haitel,0.232
5092538,Haiti Haitel,0.232
5092541,Haiti Haitel,0.232
5092545,Haiti Haitel,0.232
5092547,Haiti Haitel,0.232
5092548,Haiti Haitel,0.232
5092553,Haiti Haitel,0.232
50929,Haiti Mobile Digicel,0.2395
50934,Haiti Mobile Digicel,0.2395
50939,Haiti Mobile Digicel,0.2395
50944,Haiti Mobile Digicel,0.2395
50949,Haiti Mobile Digicel,0.2395
509281,Haiti Mobile Digicel,0.2395
50931,Haiti Mobile Digicel,0.2395
50936,Haiti Mobile Digicel,0.2395
50937,Haiti Mobile Digicel,0.2395
50938,Haiti Mobile Digicel,0.2395
50946,Haiti Mobile Digicel,0.2395
50947,Haiti Mobile Digicel,0.2395
50948,Haiti Mobile Digicel,0.2395
5097,Haiti - Mobile Digicel,0.2179
50980,Haiti - Mobile Digicel,0.2179
50981,Haiti - Mobile Digicel,0.2179
50982,Haiti - Mobile Digicel,0.2179
50983,Haiti - Mobile Digicel,0.2179
50984,Haiti - Mobile Digicel,0.2179
50985,Haiti - Mobile Digicel,0.2179
50986,Haiti - Mobile Digicel,0.2179
50987,Haiti - Mobile Digicel,0.2179
50935,Haiti Mobile Haitel,0.2261
5095,Haiti Mobile Haitel,0.2261
5093,Haiti Mobile,0.2243
504,Honduras,0.1191
5043,Honduras Mobile,0.1323
5047214,Honduras Mobile,0.1323
5047215,Honduras Mobile,0.1323
5047216,Honduras Mobile,0.1323
5047217,Honduras Mobile,0.1323
5047218,Honduras Mobile,0.1323
5047219,Honduras Mobile,0.1323
5047240,Honduras Mobile,0.1323
5047241,Honduras Mobile,0.1323
5047250,Honduras Mobile,0.1323
5047251,Honduras Mobile,0.1323
5047252,Honduras Mobile,0.1323
50474100,Honduras Mobile,0.1323
50474101,Honduras Mobile,0.1323
50474102,Honduras Mobile,0.1323
50474103,Honduras Mobile,0.1323
50474104,Honduras Mobile,0.1323
5047411,Honduras Mobile,0.1323
50474120,Honduras Mobile,0.1323
50474121,Honduras Mobile,0.1323
50474122,Honduras Mobile,0.1323
50474123,Honduras Mobile,0.1323
50474124,Honduras Mobile,0.1323
5049,Honduras Mobile,0.1323
50494,Honduras Mobile Tigo,0.1629
50495,Honduras Mobile Tigo,0.1629
50496,Honduras Mobile Tigo,0.1629
50497,Honduras Mobile Tigo,0.1629
50498,Honduras Mobile Tigo,0.1629
50499,Honduras Mobile Tigo,0.1629
50487,Honduras Mobile Claro,0.1214
50488,Honduras Mobile Claro,0.1214
50489,Honduras Mobile Claro,0.1214
504314,Honduras Mobile Claro,0.1214
504315,Honduras Mobile Claro,0.1214
504316,Honduras Mobile Claro,0.1214
504317,Honduras Mobile Claro,0.1214
504318,Honduras Mobile Claro,0.1214
504319,Honduras Mobile Claro,0.1214
50432,Honduras Mobile Claro,0.1214
50433,Honduras Mobile Claro,0.1214
852,Hong Kong,0.0146
852171,Hong Kong Mobile CSL,0.014
852178,Hong Kong Mobile CSL,0.014
852179,Hong Kong Mobile CSL,0.014
852511,Hong Kong Mobile CSL,0.014
8525149,Hong Kong Mobile CSL,0.014
8525400,Hong Kong - Mobile CSL,0.0245
8525401,Hong Kong - Mobile CSL,0.0245
8525402,Hong Kong - Mobile CSL,0.0245
8525403,Hong Kong - Mobile CSL,0.0245
8525404,Hong Kong - Mobile CSL,0.0245
8525405,Hong Kong - Mobile CSL,0.0245
8525406,Hong Kong - Mobile CSL,0.0245
852543,Hong Kong Mobile CSL,0.014
852547,Hong Kong Mobile CSL,0.014
852568,Hong Kong Mobile CSL,0.014
852591,Hong Kong Mobile CSL,0.014
852602,Hong Kong Mobile CSL,0.014
852603,Hong Kong Mobile CSL,0.014
852605,Hong Kong Mobile CSL,0.014
852613,Hong Kong Mobile CSL,0.014
852614,Hong Kong Mobile CSL,0.014
852616,Hong Kong Mobile CSL,0.014
852617,Hong Kong Mobile CSL,0.014
852624,Hong Kong - Mobile CSL,0.0214
852628,Hong Kong Mobile CSL,0.014
852629,Hong Kong Mobile CSL,0.014
852637,Hong Kong Mobile CSL,0.014
852639,Hong Kong Mobile CSL,0.014
852641,Hong Kong Mobile CSL,0.014
852642,Hong Kong Mobile CSL,0.014
852653,Hong Kong Mobile CSL,0.014
852654,Hong Kong Mobile CSL,0.014
852659,Hong Kong Mobile CSL,0.014
852665,Hong Kong Mobile CSL,0.014
852671,Hong Kong Mobile CSL,0.014
852675,Hong Kong Mobile CSL,0.014
852677,Hong Kong Mobile CSL,0.014
852682,Hong Kong Mobile CSL,0.014
852683,Hong Kong - Mobile CSL,0.0214
852689,Hong Kong Mobile CSL,0.014
852696,Hong Kong - Mobile CSL,0.0214
852697,Hong Kong Mobile CSL,0.014
852698,Hong Kong - Mobile CSL,0.0214
852902,Hong Kong Mobile CSL,0.014
852903,Hong Kong Mobile CSL,0.014
852905,Hong Kong Mobile,0.014
852908,Hong Kong Mobile CSL,0.014
852909,Hong Kong Mobile CSL,0.014
852910,Hong Kong Mobile CSL,0.014
852915,Hong Kong Mobile CSL,0.014
852918,Hong Kong Mobile CSL,0.014
852919,Hong Kong Mobile CSL,0.014
852921,Hong Kong Mobile CSL,0.014
852925,Hong Kong Mobile CSL,0.014
852926,Hong Kong Mobile CSL,0.014
852930,Hong Kong Mobile CSL,0.014
852933,Hong Kong Mobile CSL,0.014
852940,Hong Kong Mobile CSL,0.014
852946,Hong Kong Mobile CSL,0.014
852953,Hong Kong Mobile CSL,0.014
852955,Hong Kong Mobile CSL,0.014
852961,Hong Kong Mobile CSL,0.014
852962,Hong Kong Mobile CSL,0.014
852965,Hong Kong Mobile CSL,0.014
852976,Hong Kong Mobile CSL,0.014
852978,Hong Kong Mobile CSL,0.014
852987,Hong Kong Mobile CSL,0.014
852988,Hong Kong Mobile CSL,0.014
852174,Hong Kong Mobile Three,0.014
852175,Hong Kong Mobile Three,0.014
852519,Hong Kong Mobile Three,0.014
852533,Hong Kong Mobile Three,0.014
852546,Hong Kong Mobile Three,0.014
852563,Hong Kong Mobile Three,0.014
852566,Hong Kong Mobile Three,0.014
852569,Hong Kong Mobile Three,0.014
852604,Hong Kong Mobile Three,0.014
852607,Hong Kong Mobile Three,0.014
852608,Hong Kong Mobile Three,0.014
852610,Hong Kong Mobile Three,0.014
852619,Hong Kong Mobile Three,0.014
852620,Hong Kong Mobile Three,0.014
852627,Hong Kong Mobile Three,0.014
852631,Hong Kong Mobile Three,0.014
852633,Hong Kong Mobile Three,0.014
852634,Hong Kong Mobile Three,0.014
852640,Hong Kong Mobile Three,0.014
852647,Hong Kong Mobile Three,0.014
852650,Hong Kong Mobile Three,0.014
852668,Hong Kong Mobile Three,0.014
852679,Hong Kong Mobile Three,0.014
852690,Hong Kong Mobile Three,0.014
852904,Hong Kong Mobile Three,0.014
852912,Hong Kong Mobile Three,0.014
852928,Hong Kong Mobile Three,0.014
852932,Hong Kong Mobile Three,0.014
852935,Hong Kong Mobile Three,0.014
852936,Hong Kong Mobile Three,0.014
852937,Hong Kong Mobile Three,0.014
852941,Hong Kong Mobile Three,0.014
852942,Hong Kong Mobile Three,0.014
852947,Hong Kong Mobile Three,0.014
852948,Hong Kong Mobile Three,0.014
852949,Hong Kong Mobile Three,0.014
852950,Hong Kong Mobile Three,0.014
852957,Hong Kong Mobile Three,0.014
852963,Hong Kong Mobile Three,0.014
852967,Hong Kong Mobile Three,0.014
852970,Hong Kong Mobile Three,0.014
852974,Hong Kong Mobile Three,0.014
852975,Hong Kong Mobile Three,0.014
852981,Hong Kong Mobile Three,0.014
852982,Hong Kong Mobile Three,0.014
852983,Hong Kong Mobile Three,0.014
85217,Hong Kong Mobile,0.014
852510,Hong Kong Mobile,0.014
852512,Hong Kong Mobile,0.014
852513,Hong Kong Mobile,0.014
8525145,Hong Kong Mobile,0.014
8525146,Hong Kong Mobile,0.014
8525147,Hong Kong Mobile,0.014
8525148,Hong Kong Mobile,0.014
852516,Hong Kong Mobile,0.014
852517,Hong Kong Mobile,0.014
852518,Hong Kong Mobile,0.014
852530,Hong Kong Mobile,0.014
852531,Hong Kong Mobile,0.014
852532,Hong Kong Mobile,0.014
852534,Hong Kong Mobile,0.014
852536,Hong Kong Mobile,0.014
852537,Hong Kong Mobile,0.014
852538,Hong Kong Mobile,0.014
852539,Hong Kong Mobile,0.014
852541,Hong Kong Mobile,0.014
852542,Hong Kong Mobile,0.014
852544,Hong Kong Mobile,0.014
852548,Hong Kong Mobile,0.014
852549,Hong Kong Mobile,0.014
852560,Hong Kong Mobile,0.014
852561,Hong Kong Mobile,0.014
852562,Hong Kong Mobile,0.014
852564,Hong Kong Mobile,0.014
8525900,Hong Kong - Mobile Others,0.0211
8525901,Hong Kong - Mobile Others,0.0211
8525902,Hong Kong - Mobile Others,0.0211
8525903,Hong Kong - Mobile Others,0.0211
8525904,Hong Kong - Mobile Others,0.0211
8525905,Hong Kong - Mobile Others,0.0211
8526,Hong Kong Mobile,0.014
852906,Hong Kong Mobile,0.014
852907,Hong Kong Mobile,0.014
85291,Hong Kong Mobile,0.014
85292,Hong Kong Mobile,0.014
85293,Hong Kong Mobile,0.014
85295,Hong Kong Mobile,0.014
85296,Hong Kong Mobile,0.014
85297,Hong Kong Mobile,0.014
85298,Hong Kong Mobile,0.014
852173,Hong Kong Mobile Smartone,0.014
852177,Hong Kong Mobile Smartone,0.014
852601,Hong Kong Mobile Smartone,0.014
852611,Hong Kong Mobile Smartone,0.014
852632,Hong Kong Mobile Smartone,0.014
852646,Hong Kong Mobile Smartone,0.014
852901,Hong Kong Mobile Smartone,0.014
852913,Hong Kong Mobile Smartone,0.014
852916,Hong Kong Mobile Smartone,0.014
852917,Hong Kong Mobile Smartone,0.014
852922,Hong Kong Mobile Smartone,0.014
852924,Hong Kong Mobile Smartone,0.014
852931,Hong Kong Mobile Smartone,0.014
852938,Hong Kong Mobile Smartone,0.014
852943,Hong Kong Mobile Smartone,0.014
852944,Hong Kong Mobile Smartone,0.014
852945,Hong Kong Mobile Smartone,0.014
852954,Hong Kong Mobile Smartone,0.014
852966,Hong Kong Mobile Smartone,0.014
852968,Hong Kong Mobile Smartone,0.014
852972,Hong Kong Mobile Smartone,0.014
852973,Hong Kong Mobile Smartone,0.014
852984,Hong Kong Mobile Smartone,0.014
852985,Hong Kong Mobile Smartone,0.014
852986,Hong Kong Mobile Smartone,0.014
36,Hungary,0.0054
361,Hungary Budapest,0.0054
3631,Hungary Mobile,0.0335
3620,Hungary Mobile Telenor,0.0329
3630,Hungary Mobile T-Mobile,0.033
3670,Hungary Mobile Vodafone,0.0315
354,Iceland,0.0154
354380,Iceland - Mobile Others,0.0192
354388,Iceland Mobile,0.0231
354389,Iceland Mobile,0.0231
3546,Iceland Mobile,0.0231
35477,Iceland Mobile,0.0231
354385,Iceland Mobile Siminn,0.0199
354611,Iceland - Mobile SIMINN,0.0506
354612,Iceland - Mobile SIMINN,0.0506
354613,Iceland - Mobile SIMINN,0.0506
354614,Iceland - Mobile SIMINN,0.0506
354631,Iceland - Mobile SIMINN,0.0238
354632,Iceland - Mobile SIMINN,0.0238
354637,Iceland - Mobile SIMINN,0.0238
354826,Iceland - Mobile SIMINN,0.0238
354827,Iceland - Mobile SIMINN,0.0238
354828,Iceland - Mobile SIMINN,0.0238
354829,Iceland - Mobile SIMINN,0.0238
35483,Iceland Mobile Siminn,0.0199
35484,Iceland Mobile Siminn,0.0199
35485,Iceland Mobile Siminn,0.0199
35486,Iceland Mobile Siminn,0.0199
35487,Iceland Mobile Siminn,0.0199
35488,Iceland Mobile Siminn,0.0199
35489,Iceland Mobile Siminn,0.0199
354615,Iceland Mobile Vodafone,0.0205
354616,Iceland Mobile Vodafone,0.0205
354617,Iceland Mobile Vodafone,0.0205
354618,Iceland Mobile Vodafone,0.0205
35462,Iceland Mobile Vodafone,0.0205
354649,Iceland Mobile Vodafone,0.0205
354659,Iceland Mobile Vodafone,0.0205
35466,Iceland Mobile Vodafone,0.0205
35467,Iceland Mobile Vodafone,0.0205
35468,Iceland Mobile Vodafone,0.0205
35469,Iceland Mobile Vodafone,0.0205
354820,Iceland Mobile Vodafone,0.0205
354821,Iceland Mobile Vodafone,0.0205
354822,Iceland Mobile Vodafone,0.0205
354823,Iceland Mobile Vodafone,0.0205
354824,Iceland Mobile Vodafone,0.0205
354825,Iceland Mobile Vodafone,0.0205
91,India,0.025
9179,India Ahmedabad,0.025
91802,India Bangalore,0.025
91803,India Bangalore,0.025
91804,India Bangalore,0.025
918060,India Bangalore,0.025
918061,India Bangalore,0.025
918062,India Bangalore,0.025
918063,India Bangalore,0.025
918064,India Bangalore,0.025
918065,India Bangalore,0.025
918066,India Bangalore,0.025
918068,India Bangalore,0.025
918069,India Bangalore,0.025
91807,India Bangalore,0.025
9133,India Calcutta,0.025
91484,India Ernakulam,0.025
9126,India Gujarat,0.025
9127,India Gujarat,0.025
9128,India Gujarat,0.025
9140,India Hyderabad,0.025
91181,India Jullundur,0.025
9147,India Kerala,0.025
91480,India Kerala,0.025
91481,India Kerala,0.025
91482,India Kerala,0.025
91483,India Kerala,0.025
91485,India Kerala,0.025
91486,India Kerala,0.025
91487,India Kerala,0.025
91488,India Kerala,0.025
91489,India Kerala,0.025
9149,India Kerala,0.025
9144,India Madras,0.025
9122,India Mumbai,0.025
9111,India New Delhi,0.025
9120,India Pune,0.025
9116,India Punjab,0.025
9117,India Punjab,0.025
91180,India Punjab,0.025
91182,India Punjab,0.025
91183,India Punjab,0.025
91184,India Punjab,0.025
91185,India Punjab,0.025
91186,India Punjab,0.025
91187,India Punjab,0.025
91188,India Punjab,0.025
91189,India Punjab,0.025
9141,India Tamil Nadu,0.025
9142,India Tamil Nadu,0.025
9143,India Tamil Nadu,0.025
9145,India Tamil Nadu,0.025
9146,India Tamil Nadu,0.025
917277,India Mobile Aircel,0.025
917278,India Mobile Aircel,0.025
917293,India Mobile Aircel,0.025
917298,India Mobile Aircel,0.025
917299,India Mobile Aircel,0.025
917373,India Mobile Aircel,0.025
917399,India Mobile Aircel,0.025
917401,India Mobile Aircel,0.025
917402,India Mobile Aircel,0.025
917403,India Mobile Aircel,0.025
917502,India Mobile Aircel,0.025
917503,India Mobile Aircel,0.025
917504,India Mobile Aircel,0.025
918012,India Mobile Aircel,0.025
918013,India Mobile Aircel,0.025
918014,India Mobile Aircel,0.025
918083,India Mobile Aircel,0.025
918285,India Mobile Aircel,0.025
918286,India Mobile Aircel,0.025
918344,India Mobile Aircel,0.025
918410,India Mobile Aircel,0.025
918507,India Mobile Aircel,0.025
918508,India Mobile Aircel,0.025
918526,India Mobile Aircel,0.025
918553,India Mobile Aircel,0.025
9185598,India Mobile Aircel,0.025
9185599,India Mobile Aircel,0.025
9185600,India Mobile Aircel,0.025
9185608,India Mobile Aircel,0.025
9185609,India Mobile Aircel,0.025
9185610,India Mobile Aircel,0.025
9185618,India Mobile Aircel,0.025
9185619,India Mobile Aircel,0.025
9185620,India Mobile Aircel,0.025
9185628,India Mobile Aircel,0.025
9185629,India Mobile Aircel,0.025
9185630,India Mobile Aircel,0.025
9185638,India Mobile Aircel,0.025
9185639,India Mobile Aircel,0.025
9185640,India Mobile Aircel,0.025
9185648,India Mobile Aircel,0.025
9185649,India Mobile Aircel,0.025
9185650,India Mobile Aircel,0.025
